School Code,School Name,Year,Enrolment
131,Alberton Elementary School,1999,229
231,Amherst Cove Consolidated School,1999,184
221,Athena Consolidated School,1999,438
440,Belfast Consolidated School,1999,286
320,Birchwood Intermediate School,1999,458
132,Bloomfield Elementary School,1999,235
314,Bluefield High School,1999,826
441,Cardigan Consolidated School,1999,234
341,Central Queens Elementary School,1999,288
310,Charlottetown Rural High School,1999,1053
311,Colonel Gray Senior High School,1999,944
344,Donagh Regional School,1999,178
442,Dundas Consolidated School,1999,76
324,East Wiltshire Intermediate School,1999,626
443,Eastern Kings Consolidated School,1999,92
510,École Évangéline,1999,443
511,École François-Buote,1999,166
342,Eliot River Elementary School,1999,403
134,Ellerslie Elementary School,1999,243
232,Elm Street Elementary School,1999,477
345,Englewood School,1999,259
444,Fortune Consolidated School,1999,119
445,Georgetown Elementary School,1999,95
340,Glen Stewart Elementary School,1999,673
357,Grand Tracadie Elementary School,1999,55
237,Greenfield Elementary School,1999,434
348,Gulf Shore Consolidated School,1999,339
122,Hernewood Intermediate School,1999,377
211,Kensington Intermediate Senior High School,1999,468
212,Kinkora Regional High School,1999,200
343,L.M. Montgomery Elementary School,1999,392
123,M.E. Callaghan Intermediate School,1999,363
222,Miscouche Consolidated School,1999,231
446,Montague Consolidated School,1999,410
420,Montague Intermediate School,1999,345
410,Montague Regional High School,1999,710
447,Morell Consolidated School,1999,227
411,Morell Regional High School,1999,325
448,Mount Stewart Consolidated School,1999,120
133,O'Leary Elementary School,1999,260
346,Parkdale Elementary School,1999,198
236,Parkside Elementary School,1999,318
347,Prince Street Elementary School,1999,363
321,Queen Charlotte Intermediate School,1999,555
233,Queen Elizabeth Elementary School,1999,463
449,Rollo Bay Consolidated School,1999,139
349,Sherwood Elementary School,1999,631
234,Somerset Elementary School,1999,206
450,Souris Consolidated School,1999,246
412,Souris Regional High School,1999,367
451,Southern Kings Consolidated School,1999,375
351,Spring Park Elementary School,1999,516
354,St. Jean Elementary School,1999,222
135,St. Louis Elementary School,1999,196
452,St. Peter’s Consolidated School,1999,113
453,St. Teresa’s Consolidated School,1999,69
323,Stonepark Intermediate School,1999,846
220,Summerside Intermediate School,1999,626
215,Three Oaks Senior High School,1999,856
130,Tignish Elementary School,1999,300
454,Tracadie Cross Consolidated School,1999,124
455,Vernon River Consolidated School,1999,256
355,West Kent Elementary School,1999,359
356,West Royalty Elementary School,1999,207
113,Westisle Composite High School,1999,813
350,Westwood Primary School,1999,424
131,Alberton Elementary School,2000,231
231,Amherst Cove Consolidated School,2000,180
221,Athena Consolidated School,2000,420
440,Belfast Consolidated School,2000,286
320,Birchwood Intermediate School,2000,433
132,Bloomfield Elementary School,2000,221
314,Bluefield High School,2000,807
441,Cardigan Consolidated School,2000,235
341,Central Queens Elementary School,2000,274
310,Charlottetown Rural High School,2000,1097
311,Colonel Gray Senior High School,2000,966
344,Donagh Regional School,2000,168
442,Dundas Consolidated School,2000,77
324,East Wiltshire Intermediate School,2000,620
443,Eastern Kings Consolidated School,2000,100
510,École Évangéline,2000,418
511,École François-Buote,2000,170
514,École Pierre-Chiasson,2000,6
512,École St-Augustin,2000,5
513,École-sur-Mer,2000,4
342,Eliot River Elementary School,2000,417
134,Ellerslie Elementary School,2000,223
232,Elm Street Elementary School,2000,476
345,Englewood School,2000,234
444,Fortune Consolidated School,2000,122
445,Georgetown Elementary School,2000,95
340,Glen Stewart Elementary School,2000,632
357,Grand Tracadie Elementary School,2000,54
